cov_sect,term,role,field,id,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
C,1,FP,10-G1,1476,4,3,1,7,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.14893617021276595,47
A,1,FP,10-G1,17564,17,3,0,17,0.53125,0.09375,0.0,0.53125,32
A,1,FP,10-G1,24904,30,21,18,32,0.6976744186046512,0.4883720930232558,0.4186046511627907,0.7441860465116279,43
C,1,FP,10-G1,26965,6,1,1,6,0.14634146341463414,0.024390243902439025,0.024390243902439025,0.14634146341463414,41
A,1,FP,10-G1,29230,30,15,5,31,0.7692307692307693,0.38461538461538464,0.1282051282051282,0.7948717948717948,39
C,1,FP,10-G1,30306,2,1,0,2,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,21
B,1,FP,10-G1,30919,12,3,4,15,0.48,0.12,0.16,0.6,25
C,1,FP,10-G1,32497,3,1,0,3,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,21
A,1,FP,10-G1,32871,27,7,3,27,0.6428571428571429,0.16666666666666666,0.07142857142857142,0.6428571428571429,42
A,1,FP,10-G1,33588,21,14,8,22,0.5,0.3333333333333333,0.19047619047619047,0.5238095238095238,42
C,1,FP,10-G1,7333,10,7,5,12,0.3448275862068966,0.2413793103448276,0.1724137931034483,0.41379310344827586,29
A,1,FP,10-G1,9091,30,25,15,30,0.967741935483871,0.8064516129032258,0.4838709677419355,0.967741935483871,31
A,1,FP,13-D4,10089,11,8,12,12,0.9166666666666666,0.6666666666666666,1.0,1.0,12
A,1,FP,13-D4,10499,47,43,39,47,0.9591836734693877,0.8775510204081632,0.7959183673469388,0.9591836734693877,49
A,1,FP,13-D4,11434,24,25,25,25,0.96,1.0,1.0,1.0,25
A,1,FP,13-D4,11782,33,31,31,35,0.9428571428571428,0.8857142857142857,0.8857142857142857,1.0,35
A,1,FP,13-D4,12497,21,22,19,21,0.9130434782608695,0.9565217391304348,0.8260869565217391,0.9130434782608695,23
A,1,FP,13-D4,1437,39,33,31,39,0.9285714285714286,0.7857142857142857,0.7380952380952381,0.9285714285714286,42
A,1,FP,13-D4,15400,19,19,19,20,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,21
A,1,FP,13-D4,17121,33,31,27,33,0.9705882352941176,0.9117647058823529,0.7941176470588235,0.9705882352941176,34
A,1,FP,13-D4,17369,66,60,53,69,0.9428571428571428,0.8571428571428571,0.7571428571428571,0.9857142857142858,70
A,1,FP,13-D4,19050,51,62,42,54,0.4636363636363636,0.5636363636363636,0.38181818181818183,0.4909090909090909,110
A,1,FP,13-D4,19381,15,14,15,15,1.0,0.9333333333333333,1.0,1.0,15
A,1,FP,13-D4,1951,11,9,9,13,0.7333333333333333,0.6,0.6,0.8666666666666667,15
A,1,FP,13-D4,19549,26,31,36,39,0.65,0.775,0.9,0.975,40
A,1,FP,13-D4,22132,25,22,24,25,0.9615384615384616,0.8461538461538461,0.9230769230769231,0.9615384615384616,26
A,1,FP,13-D4,23287,34,25,21,36,0.8717948717948718,0.6410256410256411,0.5384615384615384,0.9230769230769231,39
A,1,FP,13-D4,23470,23,25,23,25,0.7666666666666667,0.8333333333333334,0.7666666666666667,0.8333333333333334,30
A,1,FP,13-D4,23926,16,17,18,18,0.8888888888888888,0.9444444444444444,1.0,1.0,18
A,1,FP,13-D4,23991,18,18,18,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,19
A,1,FP,13-D4,24122,18,15,14,18,0.9473684210526315,0.7894736842105263,0.7368421052631579,0.9473684210526315,19
A,1,FP,13-D4,24494,3,5,5,5,0.6,1.0,1.0,1.0,5
A,1,FP,13-D4,24569,19,20,19,20,0.8636363636363636,0.9090909090909091,0.8636363636363636,0.9090909090909091,22
A,1,FP,13-D4,24821,17,17,15,17,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.8947368421052632,19
A,1,FP,13-D4,26962,21,11,12,22,0.6774193548387096,0.3548387096774194,0.3870967741935484,0.7096774193548387,31
A,1,FP,13-D4,30700,30,31,30,32,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9696969696969697,33
B,1,FP,13-D4,30986,9,8,8,9,0.6,0.5333333333333333,0.5333333333333333,0.6,15
A,1,FP,13-D4,31082,14,14,14,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,15
A,1,FP,13-D4,31239,18,13,17,18,1.0,0.7222222222222222,0.9444444444444444,1.0,18
A,1,FP,13-D4,31862,13,12,10,14,0.8666666666666667,0.8,0.6666666666666666,0.9333333333333333,15
A,1,FP,13-D4,31867,2,6,6,6,0.3333333333333333,1.0,1.0,1.0,6
A,1,FP,13-D4,32346,15,14,13,17,0.8823529411764706,0.8235294117647058,0.7647058823529411,1.0,17
A,1,FP,13-D4,32859,14,16,15,15,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.8823529411764706,17
A,1,FP,13-D4,33119,36,37,33,37,0.9230769230769231,0.9487179487179487,0.8461538461538461,0.9487179487179487,39
A,1,FP,13-D4,3328,65,85,49,69,0.625,0.8173076923076923,0.47115384615384615,0.6634615384615384,104
A,1,FP,13-D4,33299,29,23,20,30,0.9354838709677419,0.7419354838709677,0.6451612903225806,0.967741935483871,31
A,1,FP,13-D4,33309,15,15,13,15,0.9375,0.9375,0.8125,0.9375,16
A,1,FP,13-D4,33484,40,41,41,41,0.975609756097561,1.0,1.0,1.0,41
A,1,FP,13-D4,35837,14,12,16,16,0.875,0.75,1.0,1.0,16
A,1,FP,13-D4,36072,25,27,25,28,0.7352941176470589,0.7941176470588235,0.7352941176470589,0.8235294117647058,34
A,1,FP,13-D4,38352,34,32,33,36,0.9444444444444444,0.8888888888888888,0.9166666666666666,1.0,36
A,1,FP,13-D4,38547,14,12,12,14,0.875,0.75,0.75,0.875,16
A,1,FP,13-D4,39191,31,30,26,31,0.96875,0.9375,0.8125,0.96875,32
A,1,FP,13-D4,4186,21,22,20,22,0.9545454545454546,1.0,0.9090909090909091,1.0,22
A,1,FP,13-D4,4512,21,21,19,22,0.9545454545454546,0.9545454545454546,0.8636363636363636,1.0,22
A,1,FP,13-D4,6638,22,17,16,22,0.88,0.68,0.64,0.88,25
A,1,FP,13-D4,7322,19,18,14,19,1.0,0.9473684210526315,0.7368421052631579,1.0,19
A,1,FP,13-D4,8076,19,20,19,19,0.95,1.0,0.95,0.95,20
A,1,FP,13-D4,8183,25,17,14,26,0.8064516129032258,0.5483870967741935,0.45161290322580644,0.8387096774193549,31
A,1,FP,13-D4,919,17,19,19,19,0.8947368421052632,1.0,1.0,1.0,19
A,1,FP,13-D4,9355,2,7,7,7,0.2857142857142857,1.0,1.0,1.0,7
A,1,AP,10-G1,10544,12,2,1,12,0.8571428571428571,0.14285714285714285,0.07142857142857142,0.8571428571428571,14
A,1,AP,10-G1,12419,5,4,3,5,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,6
A,1,AP,10-G1,12911,34,12,8,34,1.0,0.35294117647058826,0.23529411764705882,1.0,34
C,1,AP,10-G1,14266,10,6,3,10,0.625,0.375,0.1875,0.625,16
C,1,AP,10-G1,15421,8,14,2,8,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.3333333333333333,24
B,1,AP,10-G1,16367,12,3,3,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,18
B,1,AP,10-G1,18417,8,4,3,11,0.36363636363636365,0.18181818181818182,0.13636363636363635,0.5,22
C,1,AP,10-G1,19493,1,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,22
C,1,AP,10-G1,20291,1,0,0,2,0.09090909090909091,0.0,0.0,0.18181818181818182,11
A,1,AP,10-G1,24644,12,10,5,14,0.8571428571428571,0.7142857142857143,0.35714285714285715,1.0,14
A,1,AP,10-G1,25929,14,3,3,14,1.0,0.21428571428571427,0.21428571428571427,1.0,14
C,1,AP,10-G1,26425,4,1,0,5,0.12121212121212122,0.030303030303030304,0.0,0.15151515151515152,33
C,1,AP,10-G1,26541,0,0,0,0,0.0,0.0,0.0,0.0,10
B,1,AP,10-G1,27496,12,3,1,12,0.631578947368421,0.15789473684210525,0.05263157894736842,0.631578947368421,19
A,1,AP,10-G1,28773,12,8,8,12,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.8571428571428571,14
C,1,AP,10-G1,30157,2,3,0,2,0.125,0.1875,0.0,0.125,16
A,1,AP,10-G1,3035,11,2,2,11,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.9166666666666666,12
A,1,AP,10-G1,32140,13,11,8,13,1.0,0.8461538461538461,0.6153846153846154,1.0,13
C,1,AP,10-G1,32715,2,6,1,3,0.16666666666666666,0.5,0.08333333333333333,0.25,12
A,1,AP,10-G1,33034,23,21,16,24,0.8846153846153846,0.8076923076923077,0.6153846153846154,0.9230769230769231,26
A,1,AP,10-G1,33468,12,3,3,12,0.75,0.1875,0.1875,0.75,16
B,1,AP,10-G1,34367,13,11,0,14,0.5652173913043478,0.4782608695652174,0.0,0.6086956521739131,23
C,1,AP,10-G1,35874,0,0,0,0,0.0,0.0,0.0,0.0,11
C,1,AP,10-G1,3840,4,4,4,8,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2962962962962963,27
A,1,AP,10-G1,3860,22,23,14,22,0.9166666666666666,0.9583333333333334,0.5833333333333334,0.9166666666666666,24
A,1,AP,13-D4,1195,17,18,17,19,0.7727272727272727,0.8181818181818182,0.7727272727272727,0.8636363636363636,22
A,1,AP,13-D4,13369,7,7,7,9,0.7,0.7,0.7,0.9,10
A,1,AP,13-D4,14921,12,13,14,15,0.8,0.8666666666666667,0.9333333333333333,1.0,15
A,1,AP,13-D4,15220,10,10,10,10,1.0,1.0,1.0,1.0,10
B,1,AP,13-D4,15568,9,11,7,9,0.6923076923076923,0.8461538461538461,0.5384615384615384,0.6923076923076923,13
A,1,AP,13-D4,16196,21,16,15,23,0.84,0.64,0.6,0.92,25
A,1,AP,13-D4,16780,10,8,8,10,1.0,0.8,0.8,1.0,10
A,1,AP,13-D4,17087,14,15,11,14,0.9333333333333333,1.0,0.7333333333333333,0.9333333333333333,15
A,1,AP,13-D4,17108,17,17,17,17,1.0,1.0,1.0,1.0,17
A,1,AP,13-D4,17188,9,9,9,9,1.0,1.0,1.0,1.0,9
A,1,AP,13-D4,1809,11,8,7,11,1.0,0.7272727272727273,0.6363636363636364,1.0,11
A,1,AP,13-D4,18560,12,12,9,13,0.9230769230769231,0.9230769230769231,0.6923076923076923,1.0,13
A,1,AP,13-D4,19610,12,12,12,12,1.0,1.0,1.0,1.0,12
A,1,AP,13-D4,19901,8,8,8,8,1.0,1.0,1.0,1.0,8
A,1,AP,13-D4,20351,10,11,9,11,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,12
A,1,AP,13-D4,21585,23,30,23,27,0.5348837209302325,0.6976744186046512,0.5348837209302325,0.627906976744186,43
A,1,AP,13-D4,21925,9,10,10,10,0.9,1.0,1.0,1.0,10
A,1,AP,13-D4,22767,10,10,10,10,1.0,1.0,1.0,1.0,10
A,1,AP,13-D4,23794,11,9,10,11,1.0,0.8181818181818182,0.9090909090909091,1.0,11
A,1,AP,13-D4,24074,13,14,13,14,0.9285714285714286,1.0,0.9285714285714286,1.0,14
A,1,AP,13-D4,24679,15,15,15,15,1.0,1.0,1.0,1.0,15
A,1,AP,13-D4,24909,16,15,13,16,1.0,0.9375,0.8125,1.0,16
A,1,AP,13-D4,25190,14,14,14,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,15
A,1,AP,13-D4,26615,21,18,18,21,0.9545454545454546,0.8181818181818182,0.8181818181818182,0.9545454545454546,22
A,1,AP,13-D4,26728,12,10,6,12,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.9230769230769231,13
A,1,AP,13-D4,26963,20,11,12,21,0.7692307692307693,0.4230769230769231,0.46153846153846156,0.8076923076923077,26
A,1,AP,13-D4,27769,10,10,10,10,1.0,1.0,1.0,1.0,10
A,1,AP,13-D4,28004,9,9,4,9,0.75,0.75,0.3333333333333333,0.75,12
A,1,AP,13-D4,2894,22,23,28,31,0.7096774193548387,0.7419354838709677,0.9032258064516129,1.0,31
A,1,AP,13-D4,29272,9,9,10,10,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,11
A,1,AP,13-D4,29412,27,24,26,29,0.9310344827586207,0.8275862068965517,0.896551724137931,1.0,29
A,1,AP,13-D4,29775,7,7,6,7,1.0,1.0,0.8571428571428571,1.0,7
A,1,AP,13-D4,29971,7,7,7,7,0.7,0.7,0.7,0.7,10
A,1,AP,13-D4,3005,21,21,21,21,1.0,1.0,1.0,1.0,21
A,1,AP,13-D4,30092,14,14,14,14,1.0,1.0,1.0,1.0,14
A,1,AP,13-D4,30257,10,9,9,10,1.0,0.9,0.9,1.0,10
A,1,AP,13-D4,30747,12,11,10,13,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.9285714285714286,14
A,1,AP,13-D4,30802,7,7,7,7,1.0,1.0,1.0,1.0,7
A,1,AP,13-D4,31195,7,7,6,7,1.0,1.0,0.8571428571428571,1.0,7
A,1,AP,13-D4,31482,13,12,12,14,0.9285714285714286,0.8571428571428571,0.8571428571428571,1.0,14
A,1,AP,13-D4,32087,14,13,13,14,1.0,0.9285714285714286,0.9285714285714286,1.0,14
A,1,AP,13-D4,32656,12,10,10,13,0.9230769230769231,0.7692307692307693,0.7692307692307693,1.0,13
A,1,AP,13-D4,32787,28,29,31,31,0.8484848484848485,0.8787878787878788,0.9393939393939394,0.9393939393939394,33
A,1,AP,13-D4,33118,29,29,28,29,0.9354838709677419,0.9354838709677419,0.9032258064516129,0.9354838709677419,31
A,1,AP,13-D4,33585,18,20,19,22,0.6666666666666666,0.7407407407407407,0.7037037037037037,0.8148148148148148,27
A,1,AP,13-D4,34643,7,7,6,7,0.875,0.875,0.75,0.875,8
A,1,AP,13-D4,3505,25,32,23,27,0.625,0.8,0.575,0.675,40
A,1,AP,13-D4,35232,12,15,15,15,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
A,1,AP,13-D4,35382,15,16,14,15,0.9375,1.0,0.875,0.9375,16
A,1,AP,13-D4,35858,21,21,21,21,1.0,1.0,1.0,1.0,21
A,1,AP,13-D4,36173,12,10,10,12,1.0,0.8333333333333334,0.8333333333333334,1.0,12
A,1,AP,13-D4,36616,1,9,9,10,0.1,0.9,0.9,1.0,10
A,1,AP,13-D4,37148,7,9,9,9,0.7,0.9,0.9,0.9,10
C,1,AP,13-D4,38150,0,3,3,3,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,11
A,1,AP,13-D4,38401,11,11,11,12,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,14
A,1,AP,13-D4,38912,22,23,20,22,0.9565217391304348,1.0,0.8695652173913043,0.9565217391304348,23
A,1,AP,13-D4,39118,8,9,7,8,0.8,0.9,0.7,0.8,10
A,1,AP,13-D4,39159,20,14,13,21,0.9523809523809523,0.6666666666666666,0.6190476190476191,1.0,21
A,1,AP,13-D4,39260,12,12,12,15,0.8,0.8,0.8,1.0,15
A,1,AP,13-D4,4413,14,13,13,15,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.8333333333333334,18
A,1,AP,13-D4,4949,11,8,8,11,1.0,0.7272727272727273,0.7272727272727273,1.0,11
A,1,AP,13-D4,5855,6,6,6,7,0.6,0.6,0.6,0.7,10
A,1,AP,13-D4,5962,11,13,10,15,0.7333333333333333,0.8666666666666667,0.6666666666666666,1.0,15
A,1,AP,13-D4,6050,11,11,10,11,1.0,1.0,0.9090909090909091,1.0,11
A,1,AP,13-D4,7064,9,11,9,9,0.75,0.9166666666666666,0.75,0.75,12
A,1,AP,13-D4,7089,27,26,24,28,0.9310344827586207,0.896551724137931,0.8275862068965517,0.9655172413793104,29
A,1,AP,13-D4,7671,10,9,8,10,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.9090909090909091,11
A,1,AP,13-D4,855,23,20,21,24,0.92,0.8,0.84,0.96,25
A,1,AP,13-D4,9170,1,6,6,6,0.16666666666666666,1.0,1.0,1.0,6
A,2,FP,10-G1,39619,22,9,1,23,0.5641025641025641,0.23076923076923078,0.02564102564102564,0.5897435897435898,39
A,2,FP,10-G1,41182,14,17,17,19,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.7916666666666666,24
A,2,FP,10-G1,41938,27,14,11,28,0.9310344827586207,0.4827586206896552,0.3793103448275862,0.9655172413793104,29
C,2,FP,10-G1,42153,7,3,0,7,0.20588235294117646,0.08823529411764706,0.0,0.20588235294117646,34
A,2,FP,10-G1,43194,23,29,11,26,0.41818181818181815,0.5272727272727272,0.2,0.4727272727272727,55
B,2,FP,10-G1,43801,8,3,1,10,0.14814814814814814,0.05555555555555555,0.018518518518518517,0.18518518518518517,54
A,2,FP,10-G1,45433,25,3,3,25,0.8620689655172413,0.10344827586206896,0.10344827586206896,0.8620689655172413,29
A,2,FP,10-G1,46209,20,21,19,29,0.40816326530612246,0.42857142857142855,0.3877551020408163,0.5918367346938775,49
B,2,FP,10-G1,50024,7,9,5,8,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,12
A,2,FP,10-G1,50095,30,7,5,31,0.5084745762711864,0.11864406779661017,0.0847457627118644,0.5254237288135594,59
B,2,FP,10-G1,50325,9,5,4,9,0.5625,0.3125,0.25,0.5625,16
A,2,FP,13-D4,45591,19,15,16,19,1.0,0.7894736842105263,0.8421052631578947,1.0,19
A,2,FP,13-D4,45835,16,15,16,17,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.8947368421052632,19
A,2,FP,13-D4,46137,42,41,32,45,0.84,0.82,0.64,0.9,50
A,2,FP,13-D4,46624,17,17,14,18,0.9444444444444444,0.9444444444444444,0.7777777777777778,1.0,18
A,2,FP,13-D4,47556,53,46,52,53,1.0,0.8679245283018868,0.9811320754716981,1.0,53
A,2,FP,13-D4,48984,58,55,54,58,0.9508196721311475,0.9016393442622951,0.8852459016393442,0.9508196721311475,61
A,2,FP,13-D4,49730,24,24,24,26,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9629629629629629,27
A,2,FP,13-D4,50022,16,18,18,18,0.8,0.9,0.9,0.9,20
A,2,FP,13-D4,50069,11,11,11,11,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,13
A,2,FP,13-D4,50787,1,20,20,20,0.047619047619047616,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
A,2,AP,10-G1,40215,26,4,4,26,0.9629629629629629,0.14814814814814814,0.14814814814814814,0.9629629629629629,27
C,2,AP,10-G1,40515,3,0,0,3,0.3,0.0,0.0,0.3,10
C,2,AP,10-G1,41423,6,0,0,6,0.42857142857142855,0.0,0.0,0.42857142857142855,14
C,2,AP,10-G1,42154,3,2,0,3,0.15,0.1,0.0,0.15,20
A,2,AP,10-G1,42484,9,7,3,9,0.8181818181818182,0.6363636363636364,0.2727272727272727,0.8181818181818182,11
A,2,AP,10-G1,42502,18,9,12,21,0.782608695652174,0.391304347826087,0.5217391304347826,0.9130434782608695,23
A,2,AP,10-G1,42503,18,9,11,20,0.8181818181818182,0.4090909090909091,0.5,0.9090909090909091,22
B,2,AP,10-G1,42627,7,9,5,8,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,12
B,2,AP,10-G1,44328,11,14,11,13,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.5416666666666666,24
B,2,AP,10-G1,44339,7,7,4,9,0.5,0.5,0.2857142857142857,0.6428571428571429,14
A,2,AP,10-G1,44531,19,16,3,20,0.8636363636363636,0.7272727272727273,0.13636363636363635,0.9090909090909091,22
C,2,AP,10-G1,44723,5,4,2,5,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.2777777777777778,18
B,2,AP,10-G1,47626,3,2,2,3,0.5,0.3333333333333333,0.3333333333333333,0.5,6
A,2,AP,10-G1,48305,15,11,7,15,0.75,0.55,0.35,0.75,20
C,2,AP,10-G1,50833,0,2,1,2,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,9
A,2,AP,13-D4,40810,5,7,6,7,0.625,0.875,0.75,0.875,8
B,2,AP,13-D4,40910,7,7,5,10,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.45454545454545453,22
A,2,AP,13-D4,42038,11,10,9,11,1.0,0.9090909090909091,0.8181818181818182,1.0,11
A,2,AP,13-D4,43530,12,8,6,12,1.0,0.6666666666666666,0.5,1.0,12
A,2,AP,13-D4,45327,24,24,22,24,1.0,1.0,0.9166666666666666,1.0,24
A,2,AP,13-D4,45558,12,11,10,12,1.0,0.9166666666666666,0.8333333333333334,1.0,12
A,2,AP,13-D4,45586,11,10,11,11,1.0,0.9090909090909091,1.0,1.0,11
A,2,AP,13-D4,47675,10,10,8,10,1.0,1.0,0.8,1.0,10
A,2,AP,13-D4,48345,17,17,16,17,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,18
A,2,AP,13-D4,48895,14,7,6,14,0.8235294117647058,0.4117647058823529,0.35294117647058826,0.8235294117647058,17
A,2,AP,13-D4,49784,8,9,7,9,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.8181818181818182,11
A,2,AP,13-D4,49795,13,12,12,14,0.8666666666666667,0.8,0.8,0.9333333333333333,15
A,2,AP,13-D4,50386,11,10,10,11,1.0,0.9090909090909091,0.9090909090909091,1.0,11
B,2,AP,13-D4,50514,2,3,3,3,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,11
A,2,AP,13-D4,50852,27,26,23,27,1.0,0.9629629629629629,0.8518518518518519,1.0,27
C,3,FP,10-G1,51731,7,1,0,7,0.2692307692307692,0.038461538461538464,0.0,0.2692307692307692,26
A,3,FP,10-G1,53909,34,6,2,34,0.85,0.15,0.05,0.85,40
A,3,FP,10-G1,56575,35,16,10,37,0.8333333333333334,0.38095238095238093,0.23809523809523808,0.8809523809523809,42
A,3,FP,10-G1,59236,22,22,3,24,0.7857142857142857,0.7857142857142857,0.10714285714285714,0.8571428571428571,28
A,3,FP,13-D4,52949,56,50,52,56,0.9655172413793104,0.8620689655172413,0.896551724137931,0.9655172413793104,58
A,3,FP,13-D4,54431,26,27,28,31,0.8387096774193549,0.8709677419354839,0.9032258064516129,1.0,31
A,3,FP,13-D4,59343,19,19,19,19,1.0,1.0,1.0,1.0,19
C,3,AP,10-G1,56044,1,2,1,3,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.15789473684210525,19
B,3,AP,10-G1,57099,4,4,3,6,0.16,0.16,0.12,0.24,25
C,3,AP,10-G1,58381,3,4,3,3,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.13636363636363635,22
C,3,AP,10-G1,58693,3,4,4,5,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.38461538461538464,13
B,3,AP,10-G1,58752,5,1,5,9,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.47368421052631576,19
A,3,AP,10-G1,59591,19,2,2,19,0.6551724137931034,0.06896551724137931,0.06896551724137931,0.6551724137931034,29
A,3,AP,13-D4,51541,17,18,16,17,0.8947368421052632,0.9473684210526315,0.8421052631578947,0.8947368421052632,19
A,3,AP,13-D4,51672,6,7,6,6,0.75,0.875,0.75,0.75,8
A,3,AP,13-D4,54913,7,44,43,43,0.15217391304347827,0.9565217391304348,0.9347826086956522,0.9347826086956522,46
A,3,AP,13-D4,59549,14,10,9,16,0.8235294117647058,0.5882352941176471,0.5294117647058824,0.9411764705882353,17
A,4,FP,10-G1,60620,17,5,3,18,0.6296296296296297,0.18518518518518517,0.1111111111111111,0.6666666666666666,27
C,4,FP,10-G1,64448,8,2,1,9,0.1568627450980392,0.0392156862745098,0.0196078431372549,0.17647058823529413,51
A,4,FP,10-G1,64837,32,20,18,33,0.9142857142857143,0.5714285714285714,0.5142857142857142,0.9428571428571428,35
C,4,FP,10-G1,67010,7,5,2,10,0.1590909090909091,0.11363636363636363,0.045454545454545456,0.22727272727272727,44
C,4,FP,10-G1,67418,2,1,1,2,0.0625,0.03125,0.03125,0.0625,32
A,4,FP,10-G1,68128,15,8,9,18,0.2542372881355932,0.13559322033898305,0.15254237288135594,0.3050847457627119,59
C,4,FP,10-G1,70480,11,4,5,13,0.3548387096774194,0.12903225806451613,0.16129032258064516,0.41935483870967744,31
B,4,FP,10-G1,72501,10,12,11,14,0.3225806451612903,0.3870967741935484,0.3548387096774194,0.45161290322580644,31
A,4,FP,13-D4,62049,32,37,32,34,0.7619047619047619,0.8809523809523809,0.7619047619047619,0.8095238095238095,42
A,4,FP,13-D4,62536,21,22,19,21,0.9130434782608695,0.9565217391304348,0.8260869565217391,0.9130434782608695,23
A,4,FP,13-D4,64896,15,12,10,16,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.8888888888888888,18
A,4,FP,13-D4,64966,45,45,45,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9074074074074074,54
A,4,FP,13-D4,65339,15,15,13,17,0.8823529411764706,0.8823529411764706,0.7647058823529411,1.0,17
A,4,FP,13-D4,65798,20,21,20,20,0.9523809523809523,1.0,0.9523809523809523,0.9523809523809523,21
A,4,FP,13-D4,65902,17,18,19,19,0.85,0.9,0.95,0.95,20
A,4,FP,13-D4,66017,36,42,37,42,0.8,0.9333333333333333,0.8222222222222222,0.9333333333333333,45
A,4,FP,13-D4,66137,17,18,17,18,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.8571428571428571,21
A,4,FP,13-D4,68640,24,28,16,24,0.5714285714285714,0.6666666666666666,0.38095238095238093,0.5714285714285714,42
A,4,FP,13-D4,68854,18,18,17,20,0.782608695652174,0.782608695652174,0.7391304347826086,0.8695652173913043,23
